__index__sample	run_index	platform	instrument	BioProject	organism	assay_type	librarylayout	date_sequenced	date_collected	genotype_sam_ss_dpl92	clade_sam	host_disease	strain_sam_ss_dpl139	host_info	country	continent	region	isolation_source	host_scienname	host_confidence	host_commonname
SAMN49444911	SRR34036303	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:51:00.000Z	2023				NV-WW-CAU-0324C29W		USA	North America	NV	environmental (wastewater)			
SAMN44425123	SRR31107420	ILLUMINA	NextSeq 500	PRJNA918317	Candidozyma auris	WGS	PAIRED	2024-10-24T14:22:00.000Z	2024	South Asian					USA	North America	Northeast	swab - axilla and/or groin	Homo sapiens	3	human
SAMN49827711	SRR34405886	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-07-07T16:46:00.000Z	2025				UT-UPHL-CAU-3356		USA	North America	Mountain	blood	Homo sapiens	3	human
SAMN48265053	SRR33388610	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-30T16:49:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_30_007		USA	North America		clinical	Homo sapiens	3	human
SAMN48270140	SRR33392053	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-30T22:28:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_30_161		USA	North America		clinical	Homo sapiens	3	human
SAMN48209716	SRR33381084	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-29T23:48:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_29_200		USA	North America		clinical	Homo sapiens	3	human
SAMN49444777	SRR34036483	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:53:00.000Z	2023				NV-WW-CAU-0124B78W		USA	North America	NV	environmental (wastewater)			
SAMN46201541	SRR31957534	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-01-10T14:43:00.000Z	2024				UT-UPHL-CAU-2723		USA	North America	Mountain	blood	Homo sapiens	3	human
SAMN44002214	SRR30847257	ILLUMINA	Illumina NovaSeq 6000	PRJNA1164417	Candidozyma auris	WGS	PAIRED	2024-09-30T21:26:00.000Z	2022-12				72-CA		PAK	Asia	Karachi	urine	Homo sapiens	3	human
SAMN45129174	SRR31569538	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2024-12-02T13:46:00.000Z	2024						USA	North America	Mountain	swab - axilla and/or groin	Homo sapiens	3	human
SAMN48931674	SRR33858627	ILLUMINA	Illumina NovaSeq X	PRJNA904373	Candidozyma auris	WGS	PAIRED	2025-06-06T12:08:00.000Z	2022						USA	North America	IL	axilla and/or groin	Homo sapiens	3	human
SAMN43584782	SRR30637019	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2024-09-11T14:27:00.000Z	2024				UT-UPHL-CAU-2272		USA	North America	Mountain	swab - skin	Homo sapiens	3	human
SAMN48755866	SRR33715545	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-05-27T14:45:00.000Z	2025						USA	North America	Mountain		Homo sapiens	3	human
SAMN44513881	SRR31175725	ILLUMINA	Illumina MiSeq	PRJNA979221	Candidozyma auris	WGS	PAIRED	2024-10-30T18:14:00.000Z	2024						USA	North America		blood	Homo sapiens	3	human
SAMN44052414	SRR30878094	ILLUMINA	Illumina MiSeq	PRJNA1034667	Candidozyma auris	WGS	PAIRED	2024-10-03T19:20:00.000Z	2024						USA	North America	West	urine	Homo sapiens	3	human
SAMN46427470	SRR32137319	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-01-27T10:43:00.000Z	2023-11				MD-MDH-CAU-2400344		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
